timestamp,event_type,status,message,payload
2026-06-20T13:00:54+00:00,order_received,received,gateway received order ticket,"{""client_order_id"": ""CLIENT-ORDER-0001"", ""estimated_price"": 1683.34125, ""order_type"": ""market"", ""quantity"": 11, ""reason"": ""entry_rule"", ""side"": ""buy"", ""source"": ""paper_trading_promotion"", ""strategy_id"": ""template_price_breakout_entry_threshold_1680_exit_threshold_1670_order_size_0_2"", ""symbol"": ""600519.SH""}"
2026-06-20T13:00:54+00:00,risk_check,accepted,risk check passed,"{""client_order_id"": ""CLIENT-ORDER-0001"", ""estimated_price"": 1683.34125, ""gateway_order_id"": ""GW-20260620T130054+0000"", ""order_type"": ""market"", ""quantity"": 11, ""reason"": ""entry_rule"", ""side"": ""buy"", ""source"": ""paper_trading_promotion"", ""status"": ""accepted"", ""strategy_id"": ""template_price_breakout_entry_threshold_1680_exit_threshold_1670_order_size_0_2"", ""submitted_at"": ""2026-06-20T13:00:54+00:00"", ""symbol"": ""600519.SH""}"
2026-06-20T13:00:54+00:00,order_filled,filled,sandbox broker filled order,"{""amount"": 18526.012127, ""fee"": 5.557804, ""fill_id"": ""FILL-GW-20260620T130054+0000"", ""fill_price"": 1684.182921, ""filled_at"": ""2026-06-20T13:00:54+00:00"", ""gateway_order_id"": ""GW-20260620T130054+0000"", ""quantity"": 11, ""side"": ""buy"", ""symbol"": ""600519.SH""}"
2026-06-20T13:01:05+00:00,order_received,received,gateway received order ticket,"{""client_order_id"": ""CLIENT-ORDER-REJECT-0001"", ""estimated_price"": 1683.34125, ""order_type"": ""market"", ""quantity"": 100, ""reason"": ""entry_rule"", ""side"": ""buy"", ""source"": ""risk_test"", ""strategy_id"": ""template_price_breakout_entry_threshold_1680_exit_threshold_1670_order_size_0_2"", ""symbol"": ""600519.SH""}"
2026-06-20T13:01:05+00:00,risk_check,rejected,order value exceeds max_order_value; cash is insufficient,"{""client_order_id"": ""CLIENT-ORDER-REJECT-0001"", ""estimated_price"": 1683.34125, ""gateway_order_id"": ""GW-20260620T130105+0000"", ""order_type"": ""market"", ""quantity"": 100, ""reason"": ""entry_rule"", ""side"": ""buy"", ""source"": ""risk_test"", ""status"": ""rejected"", ""strategy_id"": ""template_price_breakout_entry_threshold_1680_exit_threshold_1670_order_size_0_2"", ""submitted_at"": ""2026-06-20T13:01:05+00:00"", ""symbol"": ""600519.SH""}"
